Métodos de Optimización, 100, 1
Arquitectura de Computadores y Ensamblador 5, 167, 3
1, D, 
2, P, 10-11-2025
3, D, 

Python para Data Science, 168, 4
1, D, 
2, D, 
3, P, 01-11-2025
4, D, 

Cálculo Diferencial e Integral, 169, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Deep Learning con TensorFlow, 170, 2
1, P, 09-11-2025
2, D, 

Física para Ingenieros I, 171, 5
1, D, 
2, D, 
3, D, 
4, P, 08-11-2025
5, D, 

Ética en Tecnología e IA 5, 172, 2
1, D, 
2, D, 

Internet de las Cosas con Arduino 1, 173, 1
1, D, 

Teoría de la Computación, 174, 3
1, D, 
2, D, 
3, D, 

Deep Learning con TensorFlow 5, 175, 4
1, D, 
2, D, 
3, D, 
4, D, 

Diseño de Compiladores, 176, 1
1, P, 15-11-2025

Estructuras de Datos Avanzadas 5, 177, 5
1, D, 
2, P, 23-10-2025
3, P, 09-11-2025
4, D, 
5, D, 

Física para Ingenieros II, 178, 5
1, D, 
2, D, 
3, P, 04-11-2025
4, P, 22-10-2025
5, D, 

Estructuras de Datos Avanzadas, 179, 3
1, D, 
2, P, 22-10-2025
3, P, 13-11-2025

Big Data y Analytics, 180, 5
1, P, 06-11-2025
2, D, 
3, D, 
4, P, 21-10-2025
5, P, 01-11-2025

Contenedores con Docker, 181, 4
1, D, 
2, D, 
3, D, 
4, D, 

Probabilidad y Estadística para Ingeniería, 182, 3
1, P, 28-10-2025
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 183, 4
1, D, 
2, P, 12-11-2025
3, D, 
4, D, 

Big Data y Analytics 2, 184, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros II, 185, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Métodos de Optimización, 186, 5
1, P, 25-10-2025
2, D, 
3, D, 
4, D, 
5, P, 24-10-2025

Blockchain y Criptomonedas 1, 187, 4
1, D, 
2, D, 
3, D, 
4, D, 

Bases de Datos Distribuidas, 188, 1
1, D, 

Ciberseguridad Avanzada y Hacking Ético, 189, 2
1, D, 
2, P, 20-10-2025

Arquitectura de Computadores y Ensamblador, 190, 2
1, D, 
2, D, 

Emprendimiento Tecnológico y Startups, 191, 1
1, D, 

Desarrollo Web Full Stack, 192, 5
1, D, 
2, P, 15-11-2025
3, D, 
4, D, 
5, D, 

Orquestación con Kubernetes 2, 193, 4
1, D, 
2, D, 
3, D, 
4, D, 

Teoría de Grafos Aplicada 5, 194, 5
1, D, 
2, D, 
3, P, 05-11-2025
4, D, 
5, D, 

Química Orgánica Básica 1, 195, 1
1, D, 

Probabilidad y Estadística para Ingeniería, 196, 5
1, P, 04-11-2025
2, D, 
3, D, 
4, D, 
5, D, 

Ecuaciones Diferenciales Ordinarias, 197, 3
1, D, 
2, P, 12-11-2025
3, D, 

Gestión Ágil de Proyectos, 198, 2
1, D, 
2, D, 

Big Data y Analytics 1, 199, 5
1, P, 16-11-2025
2, D, 
3, D, 
4, D, 
5, D, 

Estructuras de Datos Avanzadas, 200, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Deep Learning con TensorFlow, 201, 2
1, D, 
2, D, 

Game Development con Unity, 202, 3
1, D, 
2, P, 26-10-2025
3, D, 

Química Orgánica Básica, 203, 3
1, D, 
2, P, 16-11-2025
3, D, 

Álgebra Lineal Aplicada, 204, 3
1, D, 
2, D, 
3, D, 

Game Development con Unity, 205, 3
1, D, 
2, D, 
3, D, 

Diseño de Experiencia de Usuario, 206, 2
1, D, 
2, P, 25-10-2025

Arquitectura de Microservicios, 207, 2
1, D, 
2, P, 05-11-2025

Machine Learning Práctico 2, 208, 2
1, D, 
2, D, 

Realidad Virtual y Aumentada, 209, 4
1, D, 
2, P, 10-11-2025
3, D, 
4, D, 

Ecuaciones Diferenciales Ordinarias 1, 210, 1
1, D, 

Ciberseguridad Avanzada y Hacking Ético, 211, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Contenedores con Docker, 212, 1
1, P, 07-11-2025

Machine Learning Práctico 2, 213, 1
1, D, 

Estructuras de Datos Avanzadas, 214, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación, 215, 5
1, P, 22-10-2025
2, P, 05-11-2025
3, D, 
4, D, 
5, D, 

Inteligencia Artificial Moderna, 216, 1
1, D, 

Procesamiento de Lenguaje Natural, 217, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Robótica Industrial, 218, 2
1, D, 
2, D, 

Game Development con Unity, 219, 3
1, P, 18-10-2025
2, D, 
3, D, 

Teoría de la Computación, 220, 3
1, D, 
2, P, 29-10-2025
3, D, 

Sistemas Operativos Modernos 3, 221, 2
1, D, 
2, D, 

Python para Data Science, 222, 2
1, D, 
2, D, 

Marketing Digital Estratégico 1, 223, 2
1, D, 
2, D, 

Criptografía y Seguridad, 224, 3
1, P, 21-10-2025
2, D, 
3, D, 

Historia de la Computación, 225, 1
1, P, 16-11-2025

Desarrollo Web Full Stack 3, 226, 2
1, D, 
2, D, 

Diseño de Compiladores 5, 227, 3
1, D, 
2, D, 
3, D, 

Cloud Computing con AWS 3, 228, 3
1, D, 
2, P, 18-10-2025
3, D, 

Testing y Quality Assurance 1, 229, 4
1, P, 27-10-2025
2, D, 
3, P, 13-11-2025
4, D, 

E-commerce y Negocios Digitales, 230, 3
1, D, 
2, P, 16-11-2025
3, D, 

Robótica Industrial, 231, 5
1, P, 19-10-2025
2, P, 27-10-2025
3, D, 
4, P, 11-11-2025
5, D, 

Python para Data Science, 232, 4
1, D, 
2, D, 
3, D, 
4, D, 

Probabilidad y Estadística para Ingeniería, 233, 1
1, D, 

Procesamiento de Lenguaje Natural 4, 234, 2
1, P, 23-10-2025
2, D, 

Criptografía y Seguridad, 235, 2
1, D, 
2, D, 

Arquitectura de Computadores y Ensamblador, 236, 1
1, D, 

Algoritmos y Complejidad 4, 237, 3
1, P, 14-11-2025
2, D, 
3, D, 

Métodos de Optimización, 238, 2
1, D, 
2, D, 

Robótica Industrial, 239, 1
1, D, 

Física para Ingenieros I 5, 240, 3
1, D, 
2, D, 
3, D, 

Internet de las Cosas con Arduino, 241, 1
1, D, 

Deep Learning con TensorFlow, 242, 4
1, P, 03-11-2025
2, D, 
3, D, 
4, D, 

Realidad Virtual y Aumentada 3, 243, 2
1, D, 
2, D, 

Métodos de Optimización, 244, 1
1, D, 

Redes de Computadores, 245, 3
1, P, 27-10-2025
2, D, 
3, D, 

Algoritmos y Complejidad 1, 246, 4
1, D, 
2, D, 
3, D, 
4, P, 05-11-2025

Diseño de Compiladores, 247, 1
1, D, 

Algoritmos y Complejidad, 248, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV, 249, 5
1, P, 26-10-2025
2, P, 23-10-2025
3, D, 
4, D, 
5, D, 

Diseño de Experiencia de Usuario, 250, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ecuaciones Diferenciales Ordinarias, 251, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación, 252, 1
1, D, 

Machine Learning Práctico, 253, 3
1, D, 
2, P, 08-11-2025
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 254, 1
1, P, 04-11-2025

Criptografía y Seguridad 2, 255, 5
1, D, 
2, P, 13-11-2025
3, D, 
4, P, 08-11-2025
5, D, 

Investigación de Operaciones 2, 256, 4
1, D, 
2, D, 
3, D, 
4, D, 

Computación Cuántica, 257, 2
1, P, 24-10-2025
2, D, 

Química Orgánica Básica 1, 258, 1
1, D, 

Internet de las Cosas con Arduino 1, 259, 4
1, D, 
2, P, 18-10-2025
3, D, 
4, D, 

Programación Avanzada en C++, 260, 1
1, D, 

Robótica Industrial 3, 261, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Contenedores con Docker, 262, 3
1, D, 
2, D, 
3, D, 

Ingeniería de Software Práctica, 263, 4
1, D, 
2, D, 
3, P, 22-10-2025
4, D, 

Historia de la Computación, 264, 5
1, D, 
2, D, 
3, D, 
4, P, 14-11-2025
5, D, 

Ciberseguridad Avanzada y Hacking Ético, 265, 4
1, P, 04-11-2025
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 266, 2
1, D, 
2, D, 

Cálculo Diferencial e Integral, 267, 5
1, D, 
2, P, 31-10-2025
3, D, 
4, P, 06-11-2025
5, D, 

Análisis Numérico Computacional, 268, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Avanzada en C++, 269, 1
1, D, 

Programación Avanzada en C++, 270, 5
1, D, 
2, D, 
3, P, 21-10-2025
4, D, 
5, D, 

Investigación de Operaciones, 271, 3
1, D, 
2, D, 
3, D, 

Internet de las Cosas con Arduino, 272, 4
1, D, 
2, P, 18-10-2025
3, D, 
4, D, 

Cálculo Diferencial e Integral, 273, 4
1, P, 27-10-2025
2, P, 31-10-2025
3, D, 
4, P, 07-11-2025

Teoría de Grafos Aplicada, 274, 1
1, P, 30-10-2025

Python para Data Science, 275, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos 5, 276, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de la Computación, 277, 3
1, P, 15-11-2025
2, D, 
3, P, 09-11-2025

Diseño de Compiladores 2, 278, 5
1, P, 03-11-2025
2, P, 20-10-2025
3, D, 
4, D, 
5, D, 

Realidad Virtual y Aumentada, 279, 4
1, D, 
2, P, 27-10-2025
3, D, 
4, P, 02-11-2025

Desarrollo Web Full Stack, 280, 1
1, P, 16-11-2025

Emprendimiento Tecnológico y Startups, 281, 2
1, D, 
2, D, 

Game Development con Unity, 282, 5
1, D, 
2, D, 
3, D, 
4, P, 29-10-2025
5, D, 

Emprendimiento Tecnológico y Startups, 283, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Redes de Computadores 5, 284, 4
1, D, 
2, P, 29-10-2025
3, P, 03-11-2025
4, D, 

Física para Ingenieros II, 285, 2
1, P, 04-11-2025
2, D, 

Visión por Computador con OpenCV, 286, 2
1, D, 
2, D, 

Inteligencia Artificial Moderna, 287, 4
1, D, 
2, D, 
3, D, 
4, D, 

Arquitectura de Computadores y Ensamblador, 288, 2
1, D, 
2, P, 23-10-2025

Desarrollo Web Full Stack, 289, 5
1, D, 
2, D, 
3, P, 21-10-2025
4, D, 
5, D, 

Marketing Digital Estratégico, 290, 1
1, D, 

Gestión Ágil de Proyectos 4, 291, 2
1, D, 
2, D, 

Game Development con Unity, 292, 1
1, D, 

Arquitectura de Microservicios, 293, 4
1, P, 02-11-2025
2, D, 
3, D, 
4, P, 07-11-2025

Ciberseguridad Avanzada y Hacking Ético, 294, 1
1, P, 31-10-2025

Historia de la Computación, 295, 4
1, D, 
2, P, 23-10-2025
3, D, 
4, P, 14-11-2025

Inteligencia Artificial Moderna, 296, 3
1, D, 
2, P, 15-11-2025
3, D, 

Teoría de la Computación 5, 297, 1
1, P, 25-10-2025

Investigación de Operaciones, 298, 4
1, D, 
2, P, 27-10-2025
3, D, 
4, D, 

Bases de Datos Distribuidas, 299, 1
1, P, 15-11-2025

Desarrollo Web Full Stack, 300, 2
1, D, 
2, P, 05-11-2025

Probabilidad y Estadística para Ingeniería 5, 301, 1
1, D, 

Computación Cuántica, 302, 2
1, D, 
2, D, 

Orquestación con Kubernetes 5, 303, 2
1, D, 
2, D, 

DevOps y Metodologías Ágiles, 304, 4
1, D, 
2, D, 
3, P, 25-10-2025
4, D, 

Arquitectura de Computadores y Ensamblador, 305, 5
1, D, 
2, P, 08-11-2025
3, D, 
4, D, 
5, D, 

Game Development con Unity, 306, 3
1, D, 
2, P, 08-11-2025
3, D, 

Marketing Digital Estratégico, 307, 1
1, P, 20-10-2025

Ética en Tecnología e IA, 308, 1
1, D, 

Teoría de Grafos Aplicada 2, 309, 4
1, P, 27-10-2025
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 310, 3
1, P, 06-11-2025
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 311, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Química Orgánica Básica 4, 312, 3
1, D, 
2, D, 
3, P, 24-10-2025

Inteligencia Artificial Moderna, 313, 1
1, D, 

Computación Cuántica 1, 314, 2
1, D, 
2, D, 

Game Development con Unity, 315, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, P, 04-11-2025

Sistemas Operativos Modernos 4, 316, 2
1, D, 
2, P, 25-10-2025

Criptografía y Seguridad, 317, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, P, 08-11-2025

Historia de la Computación 1, 318, 1
1, D, 

Testing y Quality Assurance, 319, 1
1, D, 

Redes de Computadores 3, 320, 2
1, P, 18-10-2025
2, D, 

Diseño de Experiencia de Usuario, 321, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Blockchain y Criptomonedas, 322, 4
1, D, 
2, D, 
3, P, 04-11-2025
4, D, 

Lógica Matemática y Computacional 1, 323, 5
1, D, 
2, P, 06-11-2025
3, P, 02-11-2025
4, P, 15-11-2025
5, D, 

Procesamiento de Lenguaje Natural, 324, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, P, 21-10-2025

Ética en Tecnología e IA, 325, 5
1, D, 
2, P, 20-10-2025
3, D, 
4, D, 
5, P, 02-11-2025

Diseño de Compiladores, 326, 3
1, D, 
2, D, 
3, D, 

Visión por Computador con OpenCV, 327, 2
1, D, 
2, D, 

Teoría de Grafos Aplicada, 328, 3
1, D, 
2, D, 
3, D, 

Ecuaciones Diferenciales Ordinarias, 329, 2
1, D, 
2, D, 

Análisis Numérico Computacional 5, 330, 2
1, D, 
2, D, 

Métodos de Optimización, 331, 4
1, D, 
2, P, 25-10-2025
3, D, 
4, D, 

Computación Cuántica, 332, 1
1, D, 

Diseño de Compiladores, 333, 4
1, D, 
2, D, 
3, D, 
4, D, 

Computación Cuántica 3, 334, 1
1, D, 

Machine Learning Práctico, 335, 1
1, D, 

Game Development con Unity, 336, 1
1, D, 

Arquitectura de Microservicios, 337, 2
1, D, 
2, P, 25-10-2025

Lógica Matemática y Computacional 2, 338, 1
1, D, 

Álgebra Lineal Aplicada 1, 339, 2
1, P, 11-11-2025
2, P, 08-11-2025

Internet de las Cosas con Arduino, 340, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cálculo Diferencial e Integral, 341, 4
1, D, 
2, D, 
3, P, 29-10-2025
4, P, 13-11-2025

Química Orgánica Básica, 342, 4
1, P, 28-10-2025
2, D, 
3, D, 
4, P, 06-11-2025

Testing y Quality Assurance 4, 343, 1
1, P, 04-11-2025

Python para Data Science, 344, 3
1, D, 
2, P, 13-11-2025
3, D, 

Robótica Industrial, 345, 3
1, P, 12-11-2025
2, D, 
3, D, 

Python para Data Science 3, 346, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación, 347, 2
1, D, 
2, P, 09-11-2025

Internet de las Cosas con Arduino, 348, 4
1, D, 
2, D, 
3, D, 
4, D, 

Bases de Datos Distribuidas, 349, 3
1, D, 
2, D, 
3, D, 

Desarrollo Web Full Stack 5, 350, 5
1, P, 26-10-2025
2, D, 
3, D, 
4, P, 20-10-2025
5, D, 

Investigación de Operaciones 3, 351, 1
1, D, 

Ecuaciones Diferenciales Ordinarias 5, 352, 1
1, D, 

Deep Learning con TensorFlow, 353, 2
1, D, 
2, D, 

Estructuras de Datos Avanzadas 5, 354, 4
1, P, 10-11-2025
2, P, 22-10-2025
3, D, 
4, D, 

DevOps y Metodologías Ágiles, 355, 2
1, D, 
2, D, 

Ética en Tecnología e IA, 356, 3
1, P, 18-10-2025
2, D, 
3, P, 01-11-2025

Ingeniería de Software Práctica, 357, 1
1, D, 

Machine Learning Práctico 1, 358, 1
1, D, 

Ecuaciones Diferenciales Ordinarias, 359, 3
1, D, 
2, P, 29-10-2025
3, D, 

Historia de la Computación, 360, 4
1, D, 
2, D, 
3, D, 
4, D, 

Desarrollo Web Full Stack 5, 361, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

DevOps y Metodologías Ágiles, 362, 1
1, D, 

Marketing Digital Estratégico, 363, 1
1, D, 

Física para Ingenieros II, 364, 5
1, D, 
2, D, 
3, P, 15-11-2025
4, D, 
5, P, 23-10-2025

Machine Learning Práctico, 365, 1
1, D, 

Teoría de la Computación 5, 366, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Geometría Analítica del Espacio, 367, 5
1, P, 23-10-2025
2, D, 
3, P, 10-11-2025
4, D, 
5, P, 22-10-2025

DevOps y Metodologías Ágiles 1, 368, 3
1, D, 
2, D, 
3, P, 20-10-2025

Ciberseguridad Avanzada y Hacking Ético 1, 369, 4
1, D, 
2, D, 
3, D, 
4, D, 

E-commerce y Negocios Digitales, 370, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores, 371, 2
1, D, 
2, P, 02-11-2025

Ingeniería de Software Práctica, 372, 1
1, D, 

Game Development con Unity 5, 373, 5
1, P, 12-11-2025
2, D, 
3, P, 24-10-2025
4, P, 25-10-2025
5, D, 

Gestión Ágil de Proyectos 1, 374, 5
1, D, 
2, P, 25-10-2025
3, D, 
4, D, 
5, D, 

E-commerce y Negocios Digitales, 375, 2
1, D, 
2, D, 

Realidad Virtual y Aumentada 4, 376, 3
1, P, 10-11-2025
2, D, 
3, D, 

Métodos de Optimización, 377, 2
1, D, 
2, D, 

Redes de Computadores, 378, 4
1, D, 
2, P, 20-10-2025
3, P, 27-10-2025
4, P, 30-10-2025

Orquestación con Kubernetes, 379, 5
1, D, 
2, P, 29-10-2025
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack, 380, 2
1, D, 
2, P, 21-10-2025

Algoritmos y Complejidad, 381, 3
1, D, 
2, D, 
3, D, 

Teoría de la Computación, 382, 3
1, D, 
2, D, 
3, D, 

Procesamiento de Lenguaje Natural, 383, 4
1, D, 
2, D, 
3, P, 12-11-2025
4, D, 

Seguridad Informática Empresarial 1, 384, 5
1, P, 08-11-2025
2, D, 
3, D, 
4, D, 
5, D, 

Cálculo Diferencial e Integral, 385, 3
1, D, 
2, P, 15-11-2025
3, D, 

Métodos de Optimización 4, 386, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, P, 06-11-2025

Python para Data Science, 387, 2
1, D, 
2, D, 

DevOps y Metodologías Ágiles, 388, 2
1, P, 28-10-2025
2, D, 

Teoría de Grafos Aplicada, 389, 5
1, D, 
2, D, 
3, P, 31-10-2025
4, D, 
5, D, 

Contenedores con Docker, 390, 2
1, D, 
2, D, 

Orquestación con Kubernetes, 391, 3
1, D, 
2, D, 
3, D, 

Programación Avanzada en C++ 2, 392, 4
1, P, 26-10-2025
2, D, 
3, P, 25-10-2025
4, D, 

Realidad Virtual y Aumentada 2, 393, 4
1, D, 
2, D, 
3, D, 
4, P, 07-11-2025

Geometría Analítica del Espacio, 394, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, P, 18-10-2025

Diseño de Compiladores 5, 395, 1
1, P, 26-10-2025

Diseño de Experiencia de Usuario 2, 396, 5
1, D, 
2, D, 
3, D, 
4, P, 08-11-2025
5, D, 

DevOps y Metodologías Ágiles, 397, 3
1, D, 
2, D, 
3, D, 

Programación Orientada a Objetos en Java, 398, 5
1, P, 07-11-2025
2, D, 
3, D, 
4, P, 30-10-2025
5, D, 

E-commerce y Negocios Digitales, 399, 1
1, D, 

Física para Ingenieros I, 400, 1
1, D, 

Criptografía y Seguridad, 401, 3
1, D, 
2, D, 
3, D, 

Bases de Datos Distribuidas, 402, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Programación Orientada a Objetos en Java, 403, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Realidad Virtual y Aumentada, 404, 3
1, D, 
2, D, 
3, D, 

Inteligencia Artificial Moderna, 405, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Internet de las Cosas con Arduino 3, 406, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Arquitectura de Microservicios, 407, 1
1, D, 

Big Data y Analytics, 408, 4
1, D, 
2, D, 
3, D, 
4, D, 

Robótica Industrial, 409, 2
1, D, 
2, D, 

DevOps y Metodologías Ágiles, 410, 3
1, D, 
2, D, 
3, D, 

Contenedores con Docker, 411, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV, 412, 1
1, D, 

Blockchain y Criptomonedas 2, 413, 3
1, D, 
2, D, 
3, D, 

Diseño de Experiencia de Usuario, 414, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Diseño de Compiladores, 415, 2
1, D, 
2, D, 

Orquestación con Kubernetes 1, 416, 2
1, D, 
2, D, 

Blockchain y Criptomonedas, 417, 3
1, D, 
2, D, 
3, D, 

Redes de Computadores, 418, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance, 419, 4
1, D, 
2, D, 
3, D, 
4, D, 

Game Development con Unity, 420, 1
1, D, 

Ecuaciones Diferenciales Ordinarias, 421, 3
1, D, 
2, D, 
3, D, 

Internet de las Cosas con Arduino, 422, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ingeniería de Software Práctica, 423, 4
1, D, 
2, D, 
3, D, 
4, D, 

Game Development con Unity 3, 424, 3
1, D, 
2, D, 
3, D, 

Teoría de la Computación 5, 425, 4
1, D, 
2, D, 
3, D, 
4, D, 

Orquestación con Kubernetes, 426, 5
1, D, 
2, D, 
